ID_PARCEL,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020
256427,3.68,BTH,BTH,MIS
256429,2.37,BTH,BTH,MIS
281956,2.57,BTH,SOG,BTH
189016,9.85,MIS,BTH,BTH
189005,2.75,ORH,BTH,BTH
267889,5.67,CZH,BTH,TRN
267878,1.01,CZH,BTH,TRN
253438,0.56,BTH,TRN,BTH
253688,4.03,TRN,BTH,CZH
253702,1.5,TRN,BTH,CZH
253700,1.93,TRN,BTH,CZH
253693,4.1,TRN,BTH,CZH
253440,6.81,BTH,TRN,BTH
253444,2.13,BTH,TRN,BTH
253441,0.19,MIS,BTH,TRN
253698,1.51,TRN,BTH,CZH
256420,0.3,BTH,MIS,BTH
187486,3.24,MIS,BTH,BTH
182126,1.38,LU7,LUZ,LUZ
182125,2.23,LU7,LUZ,LUZ
182123,1.1,LU7,LUZ,LUZ
182318,1.29,LU7,LUZ,LUZ
182321,0.74,LU7,LUZ,LUZ
182128,2.67,LU7,LUZ,LUZ
182303,1.03,LU7,LUZ,LUZ
211917,3.58,TTH,TTH,TTH
211994,3.46,TTH,TTH,TTH
210446,0.64,TTH,BTH,PTR
277167,0.57,TTH,BTH,PTR
210539,0.83,PTR,PTR,PTR
210540,0.59,PTR,PTR,PTR
276912,0.31,PTR,PTR,PTR
210454,3.63,PTR,PTR,PTR
210445,0.62,PTR,PTR,PTR
211084,0.42,PTR,PTR,PTR
276913,0.73,PTR,PTR,PTR
210537,3.07,TTH,BTH,BTH
210464,0.94,PTR,PTR,PTR
239680,0.86,MCR,TTH,PTR
239678,4.77,PTR,MIE,TTH
239610,1.5,PTR,MIE,TTH
239679,1,PTR,MIE,TTH
238805,3.04,MIE,TTH,TTH
236440,3.78,PTR,PTR,PTR
9451738,0.9,BTH,TRN,BTH
9447012,6.57,BTH,MIS,BTH
283368,7.3,BTH,MPC,MPC
283880,1.02,MIS,MPC,MPC
283367,10.45,BTH,MPC,MPC
261533,4.91,BTH,SOG,TRN
261476,13.67,CZH,BTH,ORH
185577,5.84,CZH,BTH,MIS
185573,8.23,BTH,MIS,BTH
6755282,3.9,BTH,MIS,BTH
6755279,1.46,MIS,MIS,BTH
261536,11.27,ORH,SOG,TRN
201936,5.66,TTH,SRS,TTH
201868,4.87,TTP,MCR,MPC
201934,4.12,TTP,MCR,MPC
9440822,9.38,TTH,SRS,TTH
270715,0.7,MLG,PTR,PTR
270691,3.89,BTH,SOG,MCR
203158,2.76,BTH,MPC,MCR
270631,0.98,PTR,PTR,FAG
270718,1.35,MLG,PTR,PTR
270629,2.41,MLG,PTR,PTR
270548,2.17,MLG,PTR,PTR
251628,8.07,BTH,BTH,MIS
238638,3.75,ORH,BTH,LUZ
239930,1.56,ORH,ORH,LUZ
239939,2.3,CZH,BTH,BTH
239945,1.23,BTH,ORH,LUZ
238634,3.95,BTH,ORH,ORH
196844,2.11,PTR,PTR,PTR
244321,0.27,MIE,MIE,CPL
244327,0.07,MIE,MIE,CPL
244331,0.67,MIE,MIE,CPL
244242,0.07,MIE,MIE,CPL
244319,0.56,MIE,MIE,CPL
201957,1.05,LU8,LUZ,LUZ
274805,1.7,AVH,ORH,PTR
274794,1.67,MLG,BTH,ORH
273906,1.84,MLG,MIE,BTH
273911,6.5,BTH,ORH,PTR
226996,1.62,MLG,MLG,PTR
227071,1.7,MLG,MLG,PTR
284457,1.53,BTH,MIE,BTH
284472,1.81,BTH,MIE,BTH
284474,1.18,BTH,MIE,BTH
284469,2.57,TTH,PTR,PTR
252248,2.27,MIE,MIE,MIE
6804436,1.7,ORH,FAG,RGA
222441,2.85,PTR,PTR,TTH
222428,0.51,MLG,PTR,PTR
190170,0.98,PTR,PTR,PTR
190247,1.75,AVH,TTH,TTH
190168,1,PTR,PTR,PTR
9449311,3.15,TTH,TTH,CPL
241550,0.29,TRN,BTH,BTH
218332,0.75,MIS,BTH,MIS
218313,12.53,BTH,MIS,BTH
218326,8.48,BTH,TRN,BTH
218398,6.21,BTH,TRN,BTH
218401,9.31,TRN,BTH,CZH
218323,11.78,MIS,BTH,MIS
9448238,4,PTR,PTR,PTR
9448241,0.07,PTR,PTR,PTR
216350,0.02,PTR,PTR,PTR
216353,0.49,PTR,PTR,PTR
267106,2.2,CZH,BTH,BTH
267091,1.76,CZH,BTH,BTH
265831,1.88,CZH,BTH,BTH
265833,3.06,CZH,BTH,BTH
267104,3,CZH,BTH,BTH
267088,2.8,CZH,BTH,BTH
265828,2.39,CZH,BTH,BTH
265827,3.25,CZH,BTH,BTH
278058,1.48,SRS,TRN,BTH
9447451,0.19,PTR,PTR,PTR
281820,0.56,CZH,BTH,SOJ
281826,1.56,CZH,BTH,SOJ
215089,3.52,CZH,BTH,BTH
216500,1.36,BTH,MIS,BTH
216419,3.88,MIS,MIS,BTH
216424,4.01,BTH,MIS,BTH
236017,5.2,TR6,MIE,ORH
283370,0.89,BTH,MPC,MPC
209569,6.08,TRN,BTH,BTH
210037,1.56,CZH,BTH,BTH
210041,0.89,CZH,BTH,BTH
9451172,1.18,BTH,TTH,TTH
1292028,3.7,PTR,PTR,PTR
1292031,4.89,PTR,PTR,PTR
2181512,1.37,PTR,PTR,AVH
4361951,0.3,MIS,TTH,TTH
4361955,0.31,TTH,TTH,TTH
10340423,0.45,TTH,TTH,TTH
4361875,0.43,TTH,TTH,TTH
4412839,1.23,PTR,PTR,PTR
4340380,4.5,PTR,TTH,MOH
4340381,3.94,TTH,PTR,TTH
10331190,2.31,PTR,PTR,PTR
4340298,7.02,PTR,PTR,MOH
4358564,0.58,PTR,PTR,PTR
4358651,0.84,PTR,PTR,PTR
4358486,1.2,PTR,PTR,PTR
4373472,1.26,PTR,PTR,PTR
4420082,1.01,PTR,PTR,PTR
4427318,0.34,BTH,PTR,PTR
10339075,2.98,PTR,PTR,PTR
4427316,0.31,BTH,PTR,PTR
4421302,0.4,BTH,PTR,PTR
4421307,0.44,BTH,PTR,PTR
4499545,2.93,BTH,BTH,TRN
4499560,0.16,BTH,BTH,TRN
10349523,0.86,SGH,SGH,PTR
4550100,4.26,BTH,MIE,TRE
4550097,1.3,LUZ,LUZ,MIE
4550101,1.22,LUZ,LUZ,MIE
4550102,3.03,BTH,PTR,PTR
4550086,0.81,MLG,MLG,MLG
4550084,0.89,MLG,MLG,BTH
4550083,2.17,MIE,BTH,LUZ
4550096,0.52,PTR,PTR,MIE
4603084,2.45,EPE,PTR,PTR
4603176,1.21,MLG,PTR,PTR
4490294,1.22,MCR,MCR,MLG
4602991,2.21,MLG,PTR,FAG
4602984,0.89,MCR,MCR,MLG
4602972,0.6,SGH,TTH,MLG
4460848,0.95,MIE,BTH,PTR
4509362,0.71,TRN,BTH,ORH
4603183,0.6,SGH,TTH,TTH
4587925,0.36,TTH,TTH,TTH
4587283,3.23,TTH,TTH,TTH
4588689,1.52,TTH,TTH,TTH
10357283,0.51,MLG,MLG,MCR
10357198,1,MLG,MLG,MLG
10357281,0.61,MLG,MLG,MCR
4504008,2.48,MLG,MCR,MLG
4462690,0.75,PTR,PTR,PTR
10354509,3,ORH,BTH,PTR
4462614,0.54,BTH,PTR,PTR
4462512,1.21,PTR,PTR,PTR
4462518,1.68,PTR,PTR,PTR
10346662,1.19,BTH,ORH,PTR
4499264,0.46,LUZ,LUZ,LUZ
4439225,1.17,ORH,BTH,PTR
10349768,2.19,PTR,MCR,ORH
4439224,1.71,TTH,MCR,PTR
4439320,2.47,RGA,RGA,TTH
4439323,1.54,RGA,BTH,TTH
4439228,1.79,TTH,BTH,PTR
4439229,1.21,RGA,RGA,MCR
4439315,2.19,TTH,ORH,PTR
4562644,0.41,TTH,TTH,SGH
4562560,0.45,ORH,SGH,AVP
4455888,0.92,AVP,PTR,PTR
4448224,0.97,TTH,TTH,TTH
4448225,1.04,TTH,TTH,PTR
4448431,2.52,TTH,TTH,TTH
4448132,3.59,TTH,TTH,TTH
4515045,2.25,SGH,MCR,SGH
4514942,1.25,PTR,PTR,PTR
4514928,0.79,BTH,PTR,PTR
4514924,1.59,PTR,SOG,BTH
4514929,2.15,PTR,PTR,SOG
4444400,2.01,PTR,PTR,PTR
4442981,0.63,MCR,MCR,PTR
10366121,1.27,SGH,MCR,PTR
10366123,1.58,MCR,PTR,PTR
10366122,0.52,ORH,MCR,PTR
4442968,1.66,MCR,PTR,PTR
4456198,1.09,MIE,BTH,BTH
4456387,0.73,MIE,BTH,BTH
4461878,0.3,PTR,PTR,PTR
4461877,1.44,MIE,TTH,MIE
4513328,3.45,RGA,MIE,BTH
4513330,2.38,BTH,BTH,RGA
4513909,0.46,RGA,SOG,RGA
4550390,0.66,TTH,TTH,TTH
4483306,2.96,PTR,PTR,TTH
4483307,0.46,TTH,PTR,PTR
10346425,1.72,MIE,BTH,TTH
10346424,1.36,TTH,PTR,PTR
4483186,0.71,MIE,BTH,BTH
4483192,0.26,MLG,MLG,MLG
4483581,0.81,PTR,PTR,PTR
4483188,0.83,PTR,PTR,PTR
4503820,0.65,PTR,PTR,PTR
4503802,0.62,ORH,BTH,TRN
4578749,0.7,PTR,PTR,PTR
4551452,1.69,PTR,PTR,PTR
4551627,0.94,BTH,ORH,AVH
10365421,1.48,BTH,SOG,BTH
4545246,2.12,TRN,BTH,ORH
4596351,2.5,BTH,SOG,BTH
10365422,1.94,TRN,BTH,ORH
4452994,0.32,PTR,MCR,MCR
4453184,0.54,PTR,MCR,MCR
6887060,0.61,MLG,MLG,MLG
6887051,2.87,MPC,TTH,MPC
6888484,0.77,EPE,TTH,MPC
6887064,2.95,MPC,TTH,MPC
6888462,3.94,BTH,MPC,TTH
6888463,3.71,BTH,MPC,TTH
6887058,0.55,TTH,PTR,MLG
6887073,0.19,PTR,PTR,PTR
6887066,2.54,MLG,MLG,PTR
6888393,0.78,MIE,MIE,MIE
6876282,0.78,BTH,BTH,TRN
6876290,0.62,BTH,TRN,BTH
6876297,1.85,TRN,BTH,BTH
6876293,1.45,BTH,BTH,TRN
6762236,8.14,MIS,BTH,TRN
6858712,3,MIS,BTH,BTH
6858708,4.32,MIS,BTH,BTH
6816700,2.47,TTH,TTH,TTH
6816626,0.5,PTR,PTR,PTR
6816523,0.28,TTH,TTH,TTH
6816520,0.27,TTH,TTH,TTH
6824483,2.06,BTH,BTH,BTH
6824586,0.31,BTH,BTH,BTH
6824485,2.71,BTH,BTH,BTH
6824496,0.76,BTH,BTH,BTH
6824479,0.76,BTH,BTH,BTH
6824587,4.16,BTH,BTH,BTH
6824590,2.82,BTH,TRN,BTH
6824477,0.37,BTH,BTH,BTH
6824580,4.26,BTH,TRN,BTH
6824570,0.23,BTH,TRN,BTH
6824584,0.58,BTH,BTH,BTH
6812697,3.51,BTH,PTR,PTR
6812690,4.92,MIE,MIE,MIE
6812702,1.31,MIS,BTH,TRN
6812703,1.64,MIS,BTH,MIE
6751611,9.87,BTH,BTH,ORH
10895433,3.24,LU8,LUZ,LUZ
6751610,12.85,CZH,BTH,BTH
6751619,4.18,MIS,BTH,ORH
6751602,1.04,BTH,ORP,LUZ
6751608,8.58,ORH,TRN,BTH
6751605,1.66,BTH,ORH,MCR
6751600,7.43,BTH,ORH,CZH
6751599,2.39,BTH,ORP,LUZ
10895457,3.95,BTH,ORH,CZH
6778748,1.83,CZH,BTH,BTH
6779022,6.42,BTH,BTH,ORH
