system:index,belongsTo,pointID,.geo
0000000000000000aa4d_0000000000000000001c,63187,190247,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000bd0d_00000000000000000630,63016,6858853,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000aa20_0000000000000000001c,63187,274805,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c712_00000000000000005074,63079,6820267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b110_00000000000000004777,63125,6762692,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c16b_00000000000000004777,63125,6876823,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000afc8_00000000000000004777,63125,6864770,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c0c4_00000000000000006325,63301,6815060,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000789e_00000000000000005490,63432,6767977,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b115_00000000000000004777,63125,6762707,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000034de_0000000000000000392e,63072,13286054,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d96e_00000000000000007a3c,63265,6758012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ce98_000000000000000018b3,63469,6777236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d96f_00000000000000007a3c,63265,10913299,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007a3f_00000000000000005820,63221,6890257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d601_0000000000000000742d,63371,6868006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001c9e_00000000000000005196,63367,12598135,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000598d_00000000000000003c5c,63201,6773476,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c6fb_00000000000000005389,63376,6820263,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000036d0_00000000000000006330,63459,13287153,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003a3b_00000000000000001279,63256,13289004,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000828a_00000000000000004dc7,63147,6809539,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c321_00000000000000005b7a,63393,10909405,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c715_00000000000000005074,63079,6820178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000521a_000000000000000006ff,63412,6845432,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000a631_00000000000000003e38,63324,6846347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006192_00000000000000006f76,63319,6786925,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003eb0_000000000000000004e3,63448,13291254,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003d18_00000000000000007416,63402,13290395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003d8c_00000000000000007416,63402,13290664,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d920_00000000000000001b61,63034,6807194,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000061bd_000000000000000060b4,63331,6787000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000a440_0000000000000000566e,63323,6769715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006b48_00000000000000000cf3,63211,6771545,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000037f3_0000000000000000146a,63005,13287653,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008dae_00000000000000005490,63432,6839688,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000072a7_00000000000000001b42,63139,6829703,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009f51_00000000000000001538,63210,6830989,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006534_000000000000000078d3,63424,6762383,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035b6_000000000000000006ff,63412,13286649,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bdb_0000000000000000356b,63088,6852239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000da7e_00000000000000002963,63295,6763879,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000a40e_00000000000000006f76,63319,6845999,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b091_00000000000000006325,63301,6892309,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008036_0000000000000000736e,63461,6891094,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009bb3_000000000000000073d4,63353,6830706,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b45b_0000000000000000736e,63461,6821367,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c323_00000000000000005b7a,63393,6767542,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000acd8_000000000000000041cb,63050,4455888,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000afb1_00000000000000002cd9,63209,6888811,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000072ac_00000000000000001b42,63139,6829788,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c98c_00000000000000006f76,63319,6871244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003065_000000000000000006ff,63412,13283756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002ae3_00000000000000006f76,63319,13280313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c675_000000000000000005ac,63037,6869786,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e445_0000000000000000582b,63178,6858187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002f97_00000000000000005c14,63468,13283273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000039fd_000000000000000019ae,63179,13288843,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000629f_000000000000000060b4,63331,6787008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000653d_000000000000000078d3,63424,6762390,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d51_00000000000000007889,63387,6794411,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000066a7_000000000000000004c0,63253,6865175,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007ea1_00000000000000007708,63148,6834176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002806_000000000000000071b7,63333,13278560,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e82_000000000000000016ab,63138,13272520,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000053ab_00000000000000007416,63402,6794568,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c846_00000000000000001a81,63291,6765993,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000058cb_000000000000000004c0,63253,10914089,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009e8a_000000000000000026c4,63332,6819775,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d47_00000000000000007889,63387,6794415,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000da73_00000000000000001a81,63291,6886820,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d5f7_0000000000000000742d,63371,6868014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000940f_000000000000000006ff,63412,6821536,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000669c_00000000000000003692,63338,6801326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006027_00000000000000007889,63387,6794339,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006ce5_00000000000000002963,63295,10912486,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006354_00000000000000006f76,63319,6785683,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000063e9_0000000000000000356b,63088,6875237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009b38_0000000000000000146a,63005,6878275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000dbec_00000000000000005b8f,63033,6824845,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000543b_00000000000000004577,63317,6765950,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bd9_0000000000000000356b,63088,6852147,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000028b8_00000000000000000cf3,63211,13278993,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002f96_00000000000000005c14,63468,13283272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000941d_000000000000000006ff,63412,6821648,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003eb3_000000000000000004e3,63448,13291267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e2ec_0000000000000000582b,63178,6858190,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000477e_00000000000000005b8f,63033,13299725,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d40_00000000000000007889,63387,6794413,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c852_00000000000000001a81,63291,6765994,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b72a_00000000000000007708,63148,6856455,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d249_000000000000000071b7,63333,6838735,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005a30_00000000000000006b9e,63193,6816253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c418_000000000000000062e1,63352,6776170,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000dc70_00000000000000005b8f,63033,6822456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007122_00000000000000003e9a,63078,10897079,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014d5_00000000000000001b42,63139,10897823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001245_00000000000000006e97,63242,6776319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c7e3_00000000000000007237,63051,6842696,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c402_000000000000000062e1,63352,6776171,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005447_00000000000000007237,63051,6877350,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000602a_0000000000000000500d,63454,6883990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009497_00000000000000004291,63350,10903283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e769_00000000000000007237,63051,6877325,"{""type"":""MultiPoint"",""coordinates"":[]}"
